country_name;country_fadn;ghg_elec_2008;ghg_elec_2009;ghg_elec_2010;ghg_elec_2011;ghg_elec_2012;ghg_elec_2013;ef_elec
Austria;AUT;0,204;0,188;0,212;0,219;0,184;0,17;0,196
Belgium;BEL;0,261;0,253;0,248;0,221;0,221;0,199;0,234
Bulgaria;BGR;0,901;0,874;0,92;1,065;0,914;0,795;0,912
Croatia;HRV;0,283;0,241;0,209;0,231;0,214;0,205;0,231
Cyprus;CYP;0,843;0,83;0,771;0,775;0,788;0,709;0,786
Czech Republic;CZE;0,909;0,894;0,883;0,92;0,859;0,787;0,875
Denmark;DAN;0,448;0,469;0,433;0,353;0,255;0,333;0,382
Estonia;EST;1,678;1,456;1,912;1,887;1,601;1,986;1,753
Finland;SUO;0,171;0,181;0,223;0,179;0,12;0,156;0,172
France;FRA;0,093;0,098;0,095;0,084;0,087;0,083;0,09
Germany;DEU;0,588;0,57;0,55;0,559;0,576;0,589;0,572
Greece;ELL;0,844;0,821;0,779;0,822;0,814;0,76;0,807
Hungary;HUN;0,412;0,342;0,348;0,332;0,335;0,255;0,337
Ireland;IRE;0,534;0,505;0,512;0,475;0,524;0,465;0,503
Italy;ITA;0,464;0,413;0,407;0,405;0,391;0,344;0,404
Latvia;LVA;0,087;0,085;0,128;0,126;0,078;0,121;0,104
Lithuania;LTU;0,124;0,148;0,193;0,134;0,138;0,096;0,139
Luxembourg;LUX;0,139;0,178;0,168;0,138;0,149;0,091;0,144
Malta;MLT;1,073;1,094;1,026;1,003;1,035;0,874;1,018
Netherlands;NED;0,441;0,463;0,46;0,43;0,43;0,43;0,442
Poland;POL;1,095;1,094;1,038;1,068;1,018;1,017;1,055
Portugal;POR;0,376;0,398;0,275;0,33;0,365;0,316;0,343
Romania;ROU;0,798;0,728;0,607;0,727;0,668;0,504;0,672
Slovak Republic;SVK;0,246;0,241;0,225;0,232;0,235;0,199;0,23
Slovenia;SVN;0,434;0,473;0,444;0,437;0,42;0,401;0,435
Spain;ESP;0,404;0,366;0,29;0,355;0,38;0,298;0,349
Sweden;SVE;0,021;0,02;0,03;0,02;0,015;0,016;0,02
United Kingdom;UKI;0,562;0,521;0,514;0,509;0,556;0,517;0,53
EU-28;EU;0,445;0,425;0,407;0,418;0,416;0,393;0,417
